Hit_res,Multi_scatter,noise_rate,efficency_err,epsilon,phi_range,theta_range,primary_verticies,event_count,ghost_rate_metrics,clone_fraction_metrics,reconstruction_efficiency_metrics,hit_efficiency_metrics,purity_metrics,total_rec_tracks_metrics,total_truth_tracks_metrics,ghost_tracks_metrics,clones_count_metrics,metrics
0.002,0,0.02,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.369290519893193]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.02,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.09690854852073501]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.02,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.961582093760918]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.04,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.325304511766834]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.04,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.017997000256432]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.04,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.43224157760379406]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0,0.04,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.8276275725588]]",1,0.0,0.0,1.0,1.020833333333333,0.9800000000000001,10,10,[],0,
0.002,0.002,0.01,0.0,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.351191084688154]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.002,0.002,0.01,0.1,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.8374085300806391]]",1,0.0,0.0,0.2,0.11111111111111101,1.0,2,10,[],0,
0.002,0.002,0.01,0.02,4.999958333473665e-05,0.2,0.2,"[[0, 0, 1.472866874909875]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.002,0.002,0.01,0.04,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.49483866231514007]]",1,0.0,0.0,0.2,0.08333333333333301,1.0,2,10,[],0,
0.002,0.002,0.02,0.0,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.204781224891839]]",1,0.0,0.0,0.1,0.06,1.0,1,10,[],0,
0.002,0.002,0.02,0.1,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.17428941010607701]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.002,0.002,0.02,0.02,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.600914999794106]]",1,0.0,0.0,0.0,0.0,0.0,0,10,[],0,
0.002,0.002,0.02,0.04,4.999958333473665e-05,0.2,0.2,"[[0, 0, -2.614574702550169]]",1,0.0,0.0,0.1,0.0625,1.0,1,10,[],0,
0.002,0.002,0.04,0.0,4.999958333473665e-05,0.2,0.2,"[[0, 0, 0.127875093056583]]",1,0.0,0.0,0.2,0.1,1.0,2,10,[],0,
0.002,0.002,0.04,0.1,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.011859458925678001]]",1,0.0,0.0,0.1,0.044444444444444,1.0,1,10,[],0,
0.002,0.002,0.04,0.02,4.999958333473665e-05,0.2,0.2,"[[0, 0, 1.304085438842049]]",1,0.0,0.0,0.2,0.08163265306122401,1.0,2,10,[],0,
0.002,0.002,0.04,0.04,4.999958333473665e-05,0.2,0.2,"[[0, 0, -0.08422693561979201]]",1,0.0,0.0,0.1,0.0625,1.0,1,10,[],0,
0.002,0.0002,0.01,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.6278481431884781]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0.0002,0.01,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.104264959990418]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0.0002,0.01,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.997659140855731]]",1,0.0,0.0,1.0,0.959183673469387,1.0,10,10,[],0,
0.002,0.0002,0.01,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.12198209088820801]]",1,0.0,0.0,1.0,0.958333333333333,1.0,10,10,[],0,
0.002,0.0002,0.02,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.750893902107389]]",1,0.0,0.0,1.0,0.9400000000000001,1.0,10,10,[],0,
0.002,0.0002,0.02,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 2.486661728677606]]",1,0.0,0.0,1.0,0.9777777777777771,1.0,10,10,[],0,
0.002,0.0002,0.02,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.046902818144651]]",1,0.0,0.0,1.0,0.959183673469387,1.0,10,10,[],0,
0.002,0.0002,0.02,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.089833184922723]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,
0.002,0.0002,0.04,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.265758193631403]]",1,0.0,0.0,1.0,0.9400000000000001,1.0,10,10,[],0,
0.002,0.0002,0.04,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.400965862129509]]",1,0.0,0.0,1.0,0.9777777777777771,1.0,10,10,[],0,
0.002,0.0002,0.04,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.9815886961504801]]",1,0.0,0.0,1.0,0.959183673469387,1.0,10,10,[],0,
0.002,0.0002,0.04,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.129452730478149]]",1,0.0,0.0,1.0,0.958333333333333,1.0,10,10,[],0,
0.002,0.0004,0.01,0.0,1.999999333368585e-06,0.2,0.2,"[[0, 0, 0.7740734671924]]",1,0.0,0.0,1.0,0.78,1.0,10,10,[],0,
0.002,0.0004,0.01,0.1,1.999999333368585e-06,0.2,0.2,"[[0, 0, 0.723650537853263]]",1,0.0,0.0,1.0,0.7555555555555551,1.0,10,10,[],0,
